"CustomerID","ProductID_1_sum","ProductID_2_sum","ProductID_3_sum","ProductID_4_sum","ProductID_5_sum","ProductID_6_sum","ProductID_7_sum","ProductID_8_sum","Pattern_0000010_sum","Pattern_0000100_sum","Pattern_0001000_sum","Pattern_0010000_sum","Pattern_0100010_sum","Pattern_1000010_sum","Pattern_1001010_sum","Pattern_1111110_sum","PaymentType_BT_sum","PaymentType_DD_sum","PaymentStatus_Paid_sum","PaymentStatus_Not.Paid_sum","StartDate_rec","RenewalDate_rec","PaymentDate_rec","NbrNewspapers_mean","NbrStart_mean","GrossFormulaPrice_mean","NetFormulaPrice_mean","NetNewspaperPrice_mean","ProductDiscount_mean","FormulaDiscount_mean","TotalDiscount_mean","TotalPrice_mean","TotalCredit_mean","Gender","District","ZIP","StreeID","Age","churn"
"1022740",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,70,NA,75,304,25,259,130,0.427632,0,129,129,130,0,"F","2","3150","33981",61,"1"
"102322",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,164,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,"F","5","3800","45097",61,"0"
"1023477",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,33,38,21,50.5,12.5,51.5,27,0.355263,0,24.5,24.5,27,0,"M","1","2870","27687",61,"1"
"1023482",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,33,35,7,50.5,12.5,51.5,27,0.355263,0,24.5,24.5,27,0,"M","1","2845","27199",61,"0"
"1024645",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0,41,42,26,37,12.5,37.6478945,27,0.435484,0,10.6478945,10.6478945,27,0,"M","5","3500","37601",29,"1"
"1024740",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,67,NA,55,76,25,77,54,0.710526,0,23,23,54,0,"M","5","3950","47613",61,"1"
"1024762",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,67,NA,54,76,25,77,54,0.710526,0,23,23,54,0,"M","5","3630","41831",61,"1"
"1024766",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,67,NA,39,76,25,77,54,0.710526,0,23,23,54,0,"F","5","3620","41549",61,"1"
"1025973",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,52,NA,38,50,25,50.657895,29,0.58,0,21.657895,21.657895,29,0,"M","1","2610","24665",61,"1"
"1025974",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,52,NA,40,50,25,50.657895,29,0.58,0,21.657895,21.657895,29,0,"M","6","1982","12666",61,"1"
"1026090",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,52,NA,40,50,25,50.657895,29,0.58,0,21.657895,21.657895,29,0,"M","2","1840","10679",61,"1"
"1026096",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,52,NA,45,50,25,50.657895,29,0.58,0,21.657895,21.657895,29,0,"M","1","2322","141545",1,"1"
"1026514",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,20,21,52,50.5,12.5,51.5,27,0.355263,0,24.5,24.5,0,0,"M","7","9280","72437",61,"1"
"1026837",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,53,NA,55,50,25,50.657895,29,0.58,0,21.657895,21.657895,29,0,"M","7","9220","71199",61,"1"
"1027262",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,51,NA,20,50,25,50.657895,29,0.58,0,21.657895,21.657895,29,0,"F","5","3920","46590",61,"1"
"1027575",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,47,NA,40,50,25,50.657895,29,0.58,0,21.657895,21.657895,29,0,"M","7","9120","68971",61,"1"
"1027748",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,1,1,26,26,41,38,12.5,38.6610525,27,0.421875,0,11.6610525,11.6610525,0,0,"F","5","3670","42874",48,"1"
"103528",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,179,304,15,247.666666666667,247.666666666667,0.813596333333333,0,0,0,247.333333333333,-0.333333333333333,NA,"5","3830","45489",61,"1"
"103862",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,146,304,15,247.666666666667,247.666666666667,0.813596333333333,0,0,0,247.333333333333,-0.333333333333333,NA,"5","3840","45639",61,"0"
"103873",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,335,364,349,304,16.6666666666667,237.666666666667,237.666666666667,0.779695333333333,0,0,0,237.033333333333,-0.633333333333333,"M","5","3840","45539",64,"0"
"103966",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,173,304,15,247.666666666667,247.666666666667,0.813596333333333,0,0,0,247.333333333333,-0.333333333333333,NA,"5","3840","45580",61,"0"
"104207",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,151,192,168,304,15,247.666666666667,247.666666666667,0.813596333333333,0,0,0,247.333333333333,-0.333333333333333,NA,"5","3840","45543",61,"0"
"104407",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,4,1,333,353,342,182.4,16,160.25,160.25,0.837628,0,0,0,158.45,-1.8,"M","2","3454","37108",61,"0"
"104880",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,10,10,0,62,77,75,76,17.5,72.2,72.2,0.9500942,0,0,0,72.2,0,NA,"5","3870","45805",61,"0"
"105058",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,175,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,NA,"5","3870","45815",61,"0"
"105383",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,4,0,121,138,131,303.75,15,243,243,0.79996375,0,0,0,243,0,"M","5","3891","45998",60,"0"
