"Monetary_score","Total_quantity","recency_score","days_customer","churn"
3165.4,132,14,8081,"0"
15893,870,16,9660,"0"
5588,255,9,9660,"0"
2412,119,37,8100,"0"
1430,56,20,9660,"0"
9796.8,376,6,9660,"0"
1156,57,23,9660,"0"
1606,61,29,9660,"0"
3351,191,24,9660,"0"
4697.8,130,13,9660,"0"
797,23,27,9660,"0"
75356.6,4013,6,9660,"0"
4207,156,37,9660,"0"
21180.2,585,9,9660,"0"
2414,140,16,9660,"0"
3769.4,207,3,10229,"0"
5550,64,14,10229,"0"
2652.8,284,21,10228,"0"
4453.8,294,28,10228,"1"
1573.6,155,29,10228,"0"
2854.8,37,42,10227,"0"
5922,564,0,10227,"0"
5080.8,487,55,10226,"0"
5680.2,429,1,10226,"0"
11218,1195,14,9277,"0"
1834.9,147,57,8466,"0"
1856,194,8,9493,"0"
2409.6,91,6,9316,"0"
18177.32,757,14,9688,"0"
2092,119,10,9779,"0"
2824,162,2,9316,"0"
5162,297,27,8661,"0"
3354,169,142,11138,"0"
6451,408,24,9185,"0"
3438.2,49,1,9660,"0"
18422.2,841,3,9660,"0"
1834.8,102,44,9660,"0"
9224,497,35,11241,"0"
2905,169,45,10304,"0"
4805.6,274,1,10304,"0"
11858,624,16,10300,"0"
2084,119,52,9893,"0"
3342.4,261,51,8526,"0"
1696.75,190,51,9660,"0"
5913.4,392,31,8541,"0"
6056,240,1,8541,"0"
26043.2,414,0,8541,"0"
7605.4,382,10,8539,"0"
2368,88,38,9660,"0"
3684.4,189,28,9660,"0"
1786,76,24,8270,"0"
3492,194,52,9494,"0"
2048,61,20,9660,"0"
12325,627,2,9660,"0"
14168,702,16,9445,"0"
16025,590,16,9660,"0"
22274.8,501,35,9660,"0"
9984.4,403,16,8305,"0"
6053,347,9,10151,"0"
1126,31,20,9156,"0"
1175,19,1,10451,"0"
7717,365,2,9660,"0"
2071,91,30,8585,"0"
4908,169,21,9215,"0"
359,22,42,11450,"0"
2245,25,58,9660,"0"
12045,274,3,9660,"0"
15696.6,865,15,9660,"0"
305308.1,11005,2,9660,"0"
1066,55,30,8064,"1"
3067.6,185,27,9660,"0"
1106,44,48,8102,"0"
9471.2,295,1,9660,"0"
14922,239,8,9660,"0"
10831,692,13,9660,"0"
9908,577,8,9660,"0"
13427,327,15,9660,"0"
2324,131,36,9746,"0"
2902,121,15,9660,"0"
25124,682,2,9660,"0"
11303.2,298,27,9660,"0"
522,25,38,9660,"1"
760,12,8,9660,"0"
7014,366,9,9660,"0"
4180,238,23,10698,"0"
19545,264,1,9061,"0"
13202,572,16,9660,"0"
91135.04,2579,1,8102,"0"
1400,35,1,9660,"0"
8468,423,3,9660,"0"
59785,788,3,10698,"0"
6364,357,15,8711,"0"
1660,22,14,9380,"0"
4425,61,14,9660,"0"
10634,470,0,10136,"0"
2093.6,120,21,10136,"0"
3445,193,35,10136,"0"
4289,245,49,10136,"0"
3805,217,7,10136,"0"
4087.8,234,35,10135,"0"
10945,457,15,10132,"0"
9304,518,35,10132,"0"
2216.4,126,14,10132,"0"
5244,189,22,10132,"0"
31674,1316,43,10132,"0"
3197,45,50,10131,"0"
1224,71,38,8269,"0"
2370,148,59,10131,"0"
2440,208,8,10135,"0"
8692.8,383,42,10135,"0"
3405,121,28,10131,"0"
2189,118,0,10131,"0"
9581,460,8,10131,"0"
5753,283,10,10115,"0"
4704,189,14,10132,"0"
3965,45,7,10132,"0"
6810,388,15,8361,"0"
6063,254,43,10072,"0"
7499,428,0,9831,"0"
3791,215,0,9582,"0"
5000,168,43,8121,"0"
23803.88,517,3,9660,"0"
16717,662,7,9660,"0"
9177,270,58,9660,"0"
2803,34,14,9660,"0"
3560,48,41,10759,"0"
32012,2312,21,9660,"0"
8572,383,3,9660,"0"
6409,271,22,9660,"0"
3046,140,28,9660,"0"
35922,440,3,10380,"0"
2730,99,37,10397,"0"
1682.4,95,31,10787,"0"
12535,552,37,11251,"0"
18368,645,9,9660,"0"
10736,386,10,9660,"0"
17830,1016,23,9660,"0"
2057,122,20,9660,"0"
11788,467,22,9660,"0"
8881.4,363,28,9660,"0"
8370,86,10,9660,"0"
10391.4,238,35,9660,"0"
18908.4,1006,10,11367,"0"
28304,925,9,9660,"0"
